(1983)	anonymous1983	Chinese
Perez et al. (2016)	Perez2016	English
Perez et al. (2015)	Perez2015	English
Perez et al. (2012)	Perez2012	English
Pérez-Campos et al. (2012)	PerezCampos2012	
Pérez-González (1957)	PerezGonzalez1957	English
Pérez-Mozqueda et al. (2014)	PerezMozqueda2014	Spanish [with English abstract/summary]
Perona et al. (1997)	Perona1997	English
Perry et al. (2008)	Perry2008	English
Peso et al. (2016)	Peso2016	English
Peso et al. (2014)	Peso2014	English
Pesta (1911)	Pesta1911	German
Pesta (1912)	Pesta1912	German
Pesta (1913)	Pesta1913	German
Pesta (1918)	Pesta1918	German
Pesta (1931)	Pesta1931	German
Pestana et al. (2017)	Pestana2017	English
Peters (1955)	Peters1955	German
Peters et al. (2016)	Peters2016	English
Peterson et al. (2014)	Peterson2014	English
Petit & Bildstein (1987)	Petit1987	
Petiver (1704)	Petiver1704	Latin
Petiver (1713)	Petiver1713	Latin and English and Dutch
Petrone et al. (2005)	Petrone2005	
Pezalla et al. (1978)	Pezalla1978	
Pfeffer (1889)	Pfeffer1889	German
Pierce et al. (2000)	Pierce2000	
Pierce et al. (1996)	Pierce1996	
Pillai & Nair (1968)	Pillai1968	
Pillai & Nair (1973)	Pillai1973	
Pillai (1951)	Pillai1951	English
Pillay & Nair (1971)	Pillay1971.2	English
Pillay & Nair (1971)	Pillay1971.1	English
Pillay & Nair (1973)	Pillary1973.1	English
Pillay & Nair (1973)	Pillary1973.2	English
Pinkney et al. (1999)	Pinkney1999	
Pinschmidt (1963)	Pinschmidt1963	English
Piso (1658)	Piso1658	Latin
Pitts & Cowley (1974)	Pitts1974	English
Plate (1924)	Plate1924	German
Platt et al. (2002)	Platt2002	English
Plumier (?)	Plumier	Latin
Plumley et al. (1980)	Plumley1980	
Pocock (1903)	Pocock1903	English
Poharkar et al. (2014)	Pharkar2014	English
Pope (1995)	Pope1995	English
Pope (1997)	Pope1997	English
Pope (1998)	Pope1998	English
Pope (2000)	Pope2000.1	
Pope (2000)	Pope2000.2	
Pope & Chang (2010)	Pope2010	English
Pope & Haney (2008)	Pope2008	
Popper et al. (2001)	Popper2001	
Por (1986)	Por1986	English
Por et al. (1977)	Por1977	English
Portell et al. (2012)	Portell2012	English
Porter (1913)	Porter1913	Spanish
Porter (1917)	Porter1917	Spanish
Potts & Parry (1964)	Potts1964	English
Poupin (1996)	Poupin1996	
Poupin (2008)	Poupin2008	
Poupin (2010)	Poupin2010.1	
Poupin & Juncker (2010)	Poupin2010.2	
Powers (1973)	Powers1973	English
Powers (1975)	Powers1975.2	English
Powers (1975)	Powers1975.1	English
Powers (1977)	Powers1977	English
Powers (1979)	Powers1979	English
Powers & Bliss (1983)	Powers1983	English
Powers & Cole (1976)	Powers1976	English
Pralon & Negreiros-Fransozo (2008)	Pralon2008	
Prasad et al. (2014)	Prasad2014	English
Prasadan & Janardanan (2001)	Prasadan2001	
Prasanna et al. (2017)	Prasanna2017	English
Pratt & McLain (2002)	Pratt2002.1	
Pratt & McLain (2006)	Pratt2006	
Pratt et al. (2005)	Pratt2005	
Pratt et al. (2002)	Pratt2002.2	
Pratt et al. (2003)	Pratt2003	English
Pretzmann (1971)	Pretzmann1971	German
Pretzmann (1975)	Pretzmann1975	
Pretzmann (1983)	Pretzmann1983	German
Pretzmann & Radda (1978)	Pretzmann1978	German
Price et al. (1987)	Price1987	
Prieto et al. (2004)	Prieto2004	
Provenzano (1985)	Provenzano1985	English
Przibram (1905)	Przibram1905	German
Przibram (1908)	Przibram1908	German
Przibram (1917)	Przibram1917	German
Pugh (1961)	Pugh1961	English
Pülmanns et al. (2014)	Pulmanns2014	English
Pülmanns et al. (2016)	Pulmanns2016	English
Purna Chandra Nagaraju et al. (2010)	Purna2010	
Quackenbush (1981)	Quackenbush1981.2	English
Quackenbush (1981)	Quackenbush1981.1	
Quackenbush & Fingerman (1982)	Quackenbush1982	English
Quackenbush & Fingerman (1983)	Quackenbush1983.1	English
Quackenbush & Fingerman (1984)	Quackenbush1984.3	English
Quackenbush & Fingerman (1984)	Quackenbush1984.1	
Quackenbush & Fingerman (1984)	Quackenbush1984.2	
Quackenbush & Fingerman (1985)	Quackenbush1985	
Quackenbush & Herrnkind (1980)	Quackenbush1980	English
Quackenbush & Herrnkind (1981)	Quackenbush1981.4	English
Quackenbush & Herrnkind (1981)	Quackenbush1981.3	English
Quackenbush & Herrnkind (1983)	Quackenbush1983.2	English
Quackenbush & Keeley (1987)	Quackenbush1987	English
Quackenbush & Keeley (1988)	Quackenbush1988	
Quackenbush & Rao (1979)	Quackenbush1979	English
Quattrochi & Lee (1984)	Quattrochi1984	
Quinn (1980)	Quinn1980	English
Qureshi & Saher (2012)	Qureshi2012	
Qureshi & Saher (2014)	Qureshi2014	English
Ra'anan & Cohen (1985)	Raanan1985	English
Rabalais (1983)	Rabalais1983.1	English
Rabalais (1984)	Rabalais1984	English
Rabalais (1991)	Rabalais1991	English
Rabalais & Cameron (1981)	Rabalais1981	English
Rabalais & Cameron (1982)	Rabalais1982	English
Rabalais & Cameron (1983)	Rabalais1983.2	
Rabalais & Cameron (1985)	Rabalais1985.2	
Rabalais & Cameron (1985)	Rabalais1985.1	
Rabalais & Gore (1985)	Rabalais1985.3	English
Raben (1934)	Raben1934	German
Rademacher & Mengedoth (2011)	Rademacher2011	German
Raderschall et al. (2011)	Raderschall2011	
Rafinesque (1817)	Rafinesque1817	English
Ragionieri et al. (2015)	Ragionieri2015	English
Rajendran (1972)	Rajendran1972	English
Rajeswari et al. (1982)	Rajeswari1982	
Rajkumar (2012)	Rajkumar2012	English
Rajkumar et al. (2010)	Rajkumar2010	
Rankin (1898)	Rankin1898	English
Rao & Rao (1982)	Rao1982	
Rao et al. (1980)	Rao1980	
Rao et al. (1983)	Rao1983	
Rao et al. (1985)	Rao1985.3	
Rao et al. (1985)	Rao1985.4	
Rao et al. (1984)	Rao1984	English
Rao (1974)	Rao1974	English
Rao (1977)	Rao1977	English
Rao (1978)	Rao1978.1	
Rao (1985)	Rao1985.2	English
Rao et al. (1967)	Rao1967.5	English
Rao et al. (1967)	Rao1967.3	English
Rao et al. (1968)	Rao1968.2	English
Rao & Brannon (1978)	Rao1978.2	
Rao et al. (1970)	Rao1970.5	English
Rao et al. (1970)	Rao1970.4	English
Rao & Fingerman (1968)	Rao1968.1	English
Rao & Fingerman (1968)	Rao1968.3	
Rao & Fingerman (1968)	Rao1968.4	English
Rao & Fingerman (1969)	Rao1969	English
Rao & Fingerman (1970)	Rao1970.3	English
Rao & Fingerman (1970)	Rao1970.1	English
Rao & Fingerman (1970)	Rao1970.2	English
Rao & Fingerman (1975)	Rao1975	English
Rao et al. (1967)	Rao1967.4	English
Rao et al. (1967)	Rao1967.1	English
Rao et al. (1971)	Rao1971	English
Rao et al. (1972)	Rao1972	English
Rao & Hackett (1973)	Rao1973	English
Rao et al. (1986)	Rao1986	English
Rao et al. (1987)	Rao1987	
Rao & Nagabhushanam (1967)	Rao1967.2	English [with French abstract/summary]
Rao & Riehm (1988)	Rao1988.2	English
Rao & Riehm (1988)	Rao1988.1	English
Rao & Riehm (1989)	Rao1989	
Rao et al. (1985)	Rao1985.1	
Rathbun (1893)	Rathbun1893	English
Rathbun (1897)	Rathbun1897.2	English
Rathbun (1897)	Rathbun1897.1	English
Rathbun (1898)	Rathbun1898	English
Rathbun (1899)	Rathbun1899	English
Rathbun (1900)	Rathbun1900.1	English
Rathbun (1900)	Rathbun1900.3	English
Rathbun (1900)	Rathbun1900.2	English
Rathbun (1902)	Rathbun1902.1	English
Rathbun (1902)	Rathbun1902.2	English
Rathbun (1902)	Rathbun1902.3	English
Rathbun (1904)	Rathbun1904.2	English
Rathbun (1904)	Rathbun1904.1	English
Rathbun (1905)	Rathbun1905	English
Rathbun (1906)	Rathbun1906	English
Rathbun (1907)	Rathbun1907	English
Rathbun (1909)	Rathbun1909	English
Rathbun (1910)	Rathbun1910.1	English
Rathbun (1910)	Rathbun1910.2	English
Rathbun (1911)	Rathbun1911	English
Rathbun (1913)	Rathbun1913	English
Rathbun (1914)	Rathbun1914	English
Rathbun (1915)	Rathbun1915	English
Rathbun (1918)	Rathbun1918.1	English
Rathbun (1918)	Rathbun1918.2	English
Rathbun (1919)	Rathbun1919	English
Rathbun (1920)	Rathbun1920	English
Rathbun (1921)	Rathbun1921.3	English
Rathbun (1921)	Rathbun1921.2	English
Rathbun (1921)	Rathbun1921.1	English
Rathbun (1921)	Rathbun1921.4	English
Rathbun (1923)	Rathbun1923	English
Rathbun (1924)	Rathbun1924.3	English
Rathbun (1924)	Rathbun1924.2	English
Rathbun (1924)	Rathbun1924.4	English
Rathbun (1924)	Rathbun1924.1	English
Rathbun (1926)	Rathbun1926.2	English
Rathbun (1926)	Rathbun1926.1	English
Rathbun (1931)	Rathbun1931	English
Rathbun (1933)	Rathbun1933	English
Rathbun (1935)	Rathbun1935.3	English
Rathbun (1935)	Rathbun1935.1	English
Rathbun (1935)	Rathbun1935.2	English
Rathbun (1884)	Rathbun1884	English
Raut (1943)	Raut1943	English
Ravichandran & Kannupandi (2007)	Ravichandran2007	English
Ravichandran et al. (2001)	Ravichandran2001	English
Ravignani (2015)	Ravignani2015	English
Rawson & DeCoursey (1976)	Rawson1976	English
Raz-Guzman & Sanchez (1992)	RazGuzman1992	Spanish [with English abstract/summary]
Raz-Guzmán & Sánchez (1996)	RazGuzman1996	Spanish
Raz-Guzmán et al. (1992)	RazGuzman1992.2	Spanish
Reading & Backwell (2007)	Reading2007	
Reaney (2007)	Reaney2007.1	
Reaney (2009)	Reaney2009	
Reaney & Backwell (2007)	Reaney2007.3	
Reaney & Backwell (2007)	Reaney2007.2	
Reaney et al. (2012)	Reaney2012	
Reaney et al. (2008)	Reaney2008.1	
Reaney et al. (2008)	Reaney2008.2	English
Rebach (1983)	Rebach1983	
Rebach & French (1996)	Rebach1996	
Reddy & Fingerman (1995)	Reddy1995	
Reddy et al. (1996)	Reddy1996	
Reddy et al. (1997)	Reddy1997	
Reichmuth et al. (2009)	Reichmuth2009	
Reimold et al. (1975)	Reimold1975	English
Reinsel (1991)	Reinsel1991	English
Reinsel (1992)	Reinsel1992	English
Reinsel (1993)	Reinsel1993	English
Reinsel (1994)	Reinsel1994	English
Reinsel (1995)	Reinsel1995.1	English
Reinsel (1995)	Reinsel1995.2	English
Reinsel (2004)	Reinsel2004	
Reinsel & Rittschof (1995)	Reinsel1995.3	
Reinsel et al. (2015)	Reinsel2015	English
Renshaw (2002)	Renshaw2002	English
Retamal (1981)	Retamal1981	Spanish [with English abstract/summary]
Retraubun (1995)	Retraubun1995	English
Reyes et al. (2017)	Reyes2017	English and Spanish
Rheinsmith et al. (1974)	Rheinsmith1974	English
Rhodes (1977)	Rhodes1977.1	English
Rhodes (1977)	Rhodes1977.2	English
Rhodes (1986)	Rhodes1986	
Ribeiro et al. (2016)	Ribeiro2016	English
Ribeiro et al. (2006)	Ribeiro2006	
Ribeiro et al. (2010)	Ribeiro2010	
Ribeiro & Iribarne (2011)	Ribeiro2011	
Ribeiro et al. (2005)	Ribeiro2005	
Ribeiro et al. (2003)	Ribeiro2003.1	English [with French abstract/summary]
Ribeiro et al. (2004)	Ribeiro2004	English
Ribeiro et al. (2003)	Ribeiro2003.2	
Rice (1980)	Rice1980	
Richards (1929)	Richards1929	English
Richards et al. (2011)	Richards2011	
Richardson et al. (1991)	Richardson1991	
Richmond (1997)	Richmond1997	English
Richters (1880)	Richters1880	German
Ricketts & Calvin (1948)	Ricketts1948	English
Ricketts et al. (1952)	Ricketts1952	English
Ricketts et al. (1968)	Ricketts1968	English
Ricketts et al. (1985)	Ricketts1985	English
Rico-Guevara & Araya-Salas (2015)	RicoGuevara2015	English
Ridha (1980)	Ridha1980	English
Rieger (1996)	Rieger1996	Portuguese
Rieger (1998)	Rieger1998	
Riegner (1983)	Riegner1983	English
Riehm & Rao (1982)	Riehm1982	English
Riehm & Rao (1985)	Riehm1985.1	English
Riehm & Rao (1986)	Riehm1986	English
Riehm & Rao (1987)	Riehm1987	
Riehm et al. (1985)	Riehm1985.2	
Ringold (1978)	Ringold1978	English
Ringold (1979)	Ringold1979.1	
Ringold (1979)	Ringold1979.2	English
Ringold (1980)	Ringold1980	English
Ringold (2015)	Ringold2015	English
Rittschof (1992)	Rittschof1992	English
Rittschof & Buswell (1989)	Rittschof1989	
Rittschof et al. (1995)	Rittschof1995	English
Robaldo & Monserrat (1999)	Robaldo1999	
Roberts et al. (2015)	Roberts2015	English
Roberts et al. (2016)	Roberts2016	English
Roberts & Elliott (2017)	Roberts2017	English
Roberts et al. (2014)	Roberts2014	English
Roberts (1965)	Roberts1965	English
Robertson (1960)	Robertson1960	English
Robertson (1960)	Robertson1960.2	English
Robertson (1980)	Robertson1980.2	English
Robertson (1983)	Robertson1983	
Robertson et al. (1980)	Robertson1980	
Robertson et al. (1981)	Robertson1981	
Robertson & Newell (1982)	Robertson1982.1	
Robertson & Newell (1982)	Robertson1982.2	
Robertson & Pfeiffer (1982)	Robertson1982.3	
Robinson & Dillaman (1985)	Robinson1985	
Robinson & Harcourt (1982)	Robinson1982	
Roccatagliata & Torres Jordá (2002)	Roccatagliata2002	
Rochebrune (1883)	Rochebrune1883	French
Rodelli et al. (1984)	Rodelli1984	
Rodgers et al. (2011)	Rodgers2011	
Rodrigues et al. (2016)	Rodrigues2016	English
Rodríguez et al. (1997)	Rodriguez1997	
Rodríguez & Jones (1993)	Rodriguez1993.1	
Rodríguez & Dezi (1987)	Rodriguez1987	Spanish
Rodríguez et al. (2000)	Rodriguez2000.1	
Rodríguez & Lombardo (1991)	Rodriguez1991	
Rodríguez et al. (1992)	Rodriguez1992	
Rodriguez (1959)	Rodriguez1959	English
Rodriguez (1980)	Rodriguez1980	Spanish
Rodriguez (1993)	Rodriguez1993.2	English
Rodriguez & Epifanio (2000)	Rodriguez2000.2	
Rodríguez & Snedden (2004)	Rodriguez2004	
Rodríguez-Tovar et al. (2014)	RodriguezTovar2014.1	English
Rodríguez-Tovar et al. (2014)	RodriguezTovar2014.2	English
Roff & Fairbairn (2014)	Roff2014	English
Romero-Rodríguez et al. (2017)	RomeroRodriguez2017	English [with Spanish abstract/summary]
Rorato et al. (2017)	Rorato2017	English
Rosenberg (1997)	Rosenberg1997	English
Rosenberg (2000)	Rosenberg2000	English
Rosenberg (2001)	Rosenberg2001	English
Rosenberg (2002)	Rosenberg2002	English
Rosenberg (2013)	Rosenberg2013	English
Rosenberg (2014)	Rosenberg2014	English
Rossignol (1957)	Rossignol1957	French
Rothe et al. (1991)	Rothe1991	
Roux (1917)	Roux1917	French
Roux (1927)	Roux1927	French
Rozas & LaSalle (1990)	Rozas1990	
Rudenskaya (2003)	Rudenskaya2003	
Rudenskaya et al. (2004)	Rudenskaya2004	
Rulison (2010)	Rulison2010	English
Rumisha et al. (2015)	Rumisha2015	
Rumphius (1705)	Rumphius1705	Dutch
Rumphius (1711)	Rumphius1711	Latin and Dutch
Rumphius (1740)	Rumphius1740	Dutch
Rumphius (1741)	Rumphius1741	Dutch
Rumphius (1999)	Rumphius1999	
Rupp (2003)	Rupp2003	
Rupp (2004)	Rupp2004	
Rupp (2006)	Rupp2006	
Rupp (2012)	Rupp2012	German
Rupp (2013)	Rupp2013.3	English
Rupp (2013)	Rupp2013.1	German
Rupp (2013)	Rupp2013.2	English
Rüppell (1830)	Ruppell1830	German
Rüppell (1831)	Ruppell1831	Latin
Ruppert & Fox (1988)	Ruppert1988	
Rush et al. (2010)	Rush2010	
Russell & Dierssen (2015)	Russell2015	English
Ryōan (1712-1713)	Ryoan1712	Japanese and Chinese
Sachs (1665)	Sachs1665	Latin
Saher (2008)	Saher2008	English
Saher & Qureshi (2012)	Saher2012	English
Saher & Qureshi (2014)	Saher2014.2	English
Saher et al. (2015)	Saher2015	English
Saher et al. (2014)	Saher2014	English
Saigusa (1997)	Saigusa1997	English
Saigusa et al. (2003)	Saigusa2003	
Sainath et al. (2013)	Sainath2013	English
Sakagami et al. (2015)	Sakagami2015	English
Sakai (1934)	Sakai1934	English
Sakai (1936)	Sakai1936	English
Sakai (1936 [1935])	Sakai1936.2	Japanese
Sakai (1939)	Sakai1939	English
Sakai (1940)	Sakai1940	English
Sakai (1976)	Sakai1976.1	
Sakai (1976)	Sakai1976.2	English and Japanese
Sal Moyano et al. (2015)	SalMoyano2015	English
Salawu et al. (2016)	Salawu2016	English
Salmon (1962)	Salmon1962.1	English
Salmon (1965)	Salmon1965	English
Salmon (1966)	Salmon1966	English
Salmon (1967)	Salmon1967	English
Salmon (1971)	Salmon1971	English
Salmon (1983)	Salmon1983.3	
Salmon (1983)	Salmon1983.4	
Salmon (1983)	Salmon1983.5	
Salmon (1984)	Salmon1984.1	English
Salmon (1984)	Salmon1984.2	
Salmon (1987)	Salmon1987.1	
Salmon (1988)	Salmon1988.1	
Salmon & Atsaides (1967)	Salmon1967.2	English
Salmon & Atsaides (1968)	Salmon1968.1	English
Salmon & Atsaides (1968)	Salmon1968.2	English
Salmon & Atsaides (1969)	Salmon1969	English
Salmon et al. (1979)	Salmon1979.2	English
Salmon & Horch (1972)	Salmon1972	English
Salmon & Horch (1973)	Salmon1973	English
Salmon & Horch (1976)	Salmon1976	English
Salmon et al. (1977)	Salmon1977	English
Salmon & Hyatt (1979)	Salmon1979	
Salmon & Hyatt (1983)	Salmon1983.2	English
Salmon & Hyatt (1983)	Salmon1983.1	
Salmon et al. (1978)	Salmon1978	
Salmon & Kettler (1987)	Salmon1987.2	English
Salmon et al. (1986)	Salmon1986	
Salmon & Stout (1962)	Salmon1962.2	English
Salmon & Zucker (1987)	Salmon1987.3	English
Salmon & Zucker (1988)	Salmon1988.2	English
Salomon & Graszynski (1982)	Salomon1982	English
Salvat (1964)	Salvat1964	
Sanborn & Yu (1973)	Sanborn1973	English
Sanches et al. (2017)	Sanches2017	English
Sandeen (1950)	Sandeen1950	English
Sandeen (1961)	Sandeen1961	English
Sandeen & Baldwin (1962)	Sandeen1962.2	English
Sandeen & Costlow (1961)	Sandeen1961.2	English
Sandeen et al. (1954)	Sandeen1954	English
Sandeen & Wheatley (1962)	Sandeen1962	English
Sandifer (1973)	Sandifer1973	English
Sandifer (1975)	Sandifer1975	English
Sanford et al. (2006)	Sanford2006	
Sankarankutty (1961)	Sankarankutty1961	English
Sankarankutty (1963)	Sankarankutty1963	
Santoro & Koepp (1986)	Santoro1986	
Santos et al. (2015)	Santos2015	English [with Portuguese abstract/summary]
Sarika & Gopinathan (2014)	Sarika2014	English
Sarkisian (1957)	Sarkisian1957	English
Sarojini et al. (1995)	Sarojini1995.1	English
Sarojini et al. (1993)	Sarojini1993	
Sarojini et al. (1995)	Sarojini1995.2	English
Sarojini et al. (1992)	Sarojini1992	English
Sarojini (1961)	Sarojini1961	
Sarojini (1966)	Sarojini1966	English
Sasaki et al. (2014)	Sasaki2014	English
Sasaki & Wada (1997)	Sasaki1997	
Sasekumar (1974)	Sasekumar1974	English
Sastry (1983)	Sastry1983	English
Sastry (1983)	Sastry1983.2	English
Sato (1936)	Sato1936.1	Japanese
Sato (1936)	Sato1936.2	Japanese
Sattelberg (1987)	Sattelberg1987	English
Saussure (1853)	Saussure1853	French
Saussure (1858)	Saussure1858	French
Saville-Kent (1897)	SavilleKent1897	English
Sawaya (1942)	Sawaya1942	
Say (1817-1818)	Say1817	English
Sayão-Aguiar et al. (2012)	SayaoAguiar2012	
Scarano & Tomsic (2014)	Scarano2014	English
Schäfer (2006)	Shafer2006	German
Schäfer (1954)	Schafer1954	German
Schenkel (1902)	Schenkel1902	German
Schinca (1992)	Schinca1992	Spanish
Schlacher et al. (2016)	Schlacher2016	English
Schmid & Mengersen (2013)	Schmid2013	English
Schmidt-Nielsen et al. (1968)	SchmidtNielsen1968	English
Schmitt (1921)	Schmitt1921	English
Schmitt (1965)	Schmitt1965	
Schnee & Doflein (1904)	Schnee1904	German
Scholander et al. (1953)	Scholander1953	English
Schöne (1961)	Schone1961	English
Schöne (1962)	Schone1962	German
Schöne (1964)	Schone1964	
Schöne (1967)	Schone1967	English
Schöne (1968)	Schone1968	English
Schöne & Schöne (1963)	Schone1963	German [with English abstract/summary]
Schoor et al. (2000)	Schoor2000	
Schramm (1867)	Schramm1867	French
Schreiner & Belanger (2002)	Schreiner2002	English
Schreiner & Belanger (2003)	Schreiner2003.1	English
Schreiner et al. (2003)	Schreiner2003.2	English
Schroder (1947)	Schroder1947	English
Schulz et al. (2015)	Schulz2015	English
Schwamborn et al. (1999)	Schwamborn1999	
Schwamborn et al. (2002)	Schwamborn2002	
Schwartz & Safir (1915)	Schwartz1915.1	English
Schwartz & Safir (1915)	Schwartz1915.2	English
Schwarz (1990)	Schwarz1990	German
Schwarz & Graszynski (1989)	Schwarz1989	German
Schwarz et al. (1985)	Schwarz1985	German
Schweitzer et al. (2010)	Schweitzer2010	English
Schwing (1981)	Schwing1981	English
Scott & Mote (1974)	Scott1974	English
Sears (1990)	Sears1990	English
Sears & Rittschof (1991)	Sears1991.1	
Sears et al. (1991)	Sears1991.2	
Seba (1758)	Seba1758	Latin and French
Sedimeter & Keller (1978)	Sedimeter1978	English
Sedlmeier (1980)	Sedlmeier1980	English
Seed & Hughes (1997)	Seed1997	
Selander et al. (1971)	Selander1971	English
Seliskar & Gallagher (2014)	Sliskar2014	English
Semeniuk et al. (1982)	Semeniuk1982	English
Semmes et al. (1984)	Semmes1984	English
Semmes et al. (1985)	Semmes1985	
Sen et al. (2014)	Sen2014	English
Sendler (1912)	Sendler1912	German
Sendler (1923)	Sendler1923	German
Sendova-Franks (2015)	SendovaFranks2015	English
Sengupta (2012)	Sengupta2012	English
Seno & Shigemoto (2007)	Seno2007	
Serène (1937)	Serene1937	French
Serène (1973)	Serene1973.2	English
Serène (1973)	Serene1973.1	English
Serène (1973)	Serene1973.3	French
Severinghaus & Lin (1990)	Severinghaus1990	English [with Chinese abstract/summary]
Sewell (1913)	Sewell1913	English
Shafer & Hackney (1987)	Shafer1987	
Shanholtzer (1973)	Shanholtzer1973	English
Shankaraiah et al. (1987)	Shankaraiah1987	
Shanks (1998)	Shanks1998	
Sharma et al. (1987)	Sharma1987	
Shaw & Nodder (1802)	Shaw1802	English and Latin
Shaw & Connell (1983)	Shaw1983	
Shaw & Stowe (1982)	Shaw1982	English
Shen (1932)	Shen1932	English
Shen (1937)	Shen1937.1	English [with Chinese abstract/summary]
Shen (1937)	Shen1937.2	English
Shen (1940)	Shen1940.1	English
Shen (1940)	Shen1940.2	English [with Chinese abstract/summary]
Shen (1984)	Shen1984	
Shibley (1964)	Shibley1964	English
Shields et al. (2015)	Shields2015	English
Shigei (1970)	Shigei1970	Japanese
Shigi et al. (2005)	Shigi2005	Japanese [with English abstract/summary]
Shih (1988)	Shih1988	Chinese
Shih (1994)	Shih1994	Chinese
Shih (1997)	Shih1997	Chinese
Shih (1998)	Shih1998	Chinese
Shih (1999)	Shih1999.1	
Shih (1999)	Shih1999.2	Chinese [with English abstract/summary]
Shih (2000)	Shih2000	Chinese
Shih (2001)	Shih2001	Chinese
Shih (2008)	Shih2008	Chinese
Shih (2012)	Shih2012.2	Chinese
Shih (2013)	Shih2013.3	Chinese
Shih (2015)	Shih2015.2	English
Shih et al. (2009)	Shih2009	English
Shih et al. (2013)	Shih2013.2	English
Shih et al. (2016)	Shih2016	English
Shih et al. (2005)	Shih2005	
Shih et al. (1999)	Shih1999.3	
Shih et al. (2010)	Shih2010.1	English
Shih et al. (2015)	Shih2015.3	English
Shih et al. (2016)	Shih2016.2	English
Shih et al. (2010)	Shih2010.2	English
Shih et al. (2013)	Shih2013	English
Shih et al. (2012)	Shih2012	English
Shih et al. (2015)	Shih2015	English
Shih (1990)	Shih1990.1	
Shih (1992)	Shih1992.1	
Shih (1992)	Shih1992.2	Chinese [with English abstract/summary]
Shih et al. (1989)	Shih1989	
Shih & Lan (1993)	Shih1993.1	Chinese [with English abstract/summary]
Shih et al. (1990)	Shih1990.2	
Shih et al. (1991)	Shih1991	Chinese
Shih & Tseng (1998)	Shih1998.2	
Shih & Tseng (1999)	Shih1999.4	
Shih & Wang (1993)	Shih1993.2	
Shih et al. (1996)	Shih1996	
Shimanaga et al. (2012)	Shimanaga2012	
Shin et al. (2004)	Shin2004	
Shinji et al. (2016)	Shinji2016	English
Shinn (1968)	Shinn1968	
Shirafuji et al. (2002)	Shirafuji2002	Japanese [with English abstract/summary]
Shisler & Jobbins (1977)	Shisler1977	English
Shock et al. (2009)	Shock2009	
Shyamal et al. (2015)	Shyamal2015	English
Shyamal et al. (2014)	Shyamal2014	English
Shyamal et al. (2016)	Shyamal2016	English
Shyamasundari et al. (1996)	Shyamasundari1996	
Silbiger & Munguia (2008)	Silbiger2008	
Silliman et al. (2003)	Silliman2003	English
Silva et al. (2016)	Silva2016	English
Silva et al. (2010)	Silva2010	
Silva & de Almeida (2002)	Silva2002	Portuguese [with English abstract/summary]
Silva et al. (2006)	Silva2006	Portuguese
Silva & Calado (2013)	Silva2013	English
Silva-Falcão et al. (2007)	SilvaFalcao2007	Portuguese [with English abstract/summary]
Silverthorn (1973)	Silverthorn1973.3	English
Silverthorn (1973)	Silverthorn1973.2	English
Silverthorn (1973)	Silverthorn1973.1	English
Silverthorn (1975)	Silverthorn1975.1	English
Silverthorn (1975)	Silverthorn1975.2	English
Silverthorn (1975)	Silverthorn1975.3	English
Simith et al. (2014)	Simith2014.2	English
Simith et al. (2012)	Simith2012	English
Simith & Diele (2008)	Simith2008	
Simith et al. (2010)	Simith2010	English [with Portuguese abstract/summary]
Simith et al. (2014)	Simith2014	English
Simmons (1957)	Simmons1957	English
Šimo & Starek (2015)	Simo2015	English
Simões et al. (2001)	Simoes2001	
Sivertsen (1934)	Silvertsen1934	English
Skinner (1985)	Skinner1985	English
Skinner & Graham (1972)	Skinner1972	English
Skinner et al. (1985)	Skinner1985.2	English
Skinner et al. (1992)	Skinner1992	English
Skobe (1966)	Skobe1966	English
Skobe & Nunnemacher (1970)	Skobe1970	English
Skov & Hartnoll (2001)	Skov2001	
Skov et al. (2005)	Skov2005	
Skov et al. (2002)	Skov2002	
Slatyer et al. (2008)	Slatyer2008	
Slatyer et al. (2012)	Slatyer2012	
Sloane (1725)	Sloane1725	English
Smith et al. (2003)	Smith2003	English
Smith & Weldon (1909)	Smith1909	English
Smith (2001)	Smith2001	
Smith et al. (2016)	Smith2016	English
Smith et al. (2007)	Smith2007	
Smith et al. (2009)	Smith2009	
Smith (2013)	Smith2013	English
Smith (1869)	Smith1869	English
Smith (1870)	Smith1870.1	English
Smith (1870)	Smith1870.2	English
Smith (1871)	Smith1871	English
Smith (1878)	Smith1878	English
Smith (2015)	Smith2015.2	English
Smith & Green (2015)	Smith2015.1	English
Smith & Tyrrell (2012)	Smith2012	
Smith & Miller (1973)	Smith1973	English
Smolka & Hemmi (2009)	Smolka2009	
Smolka et al. (2013)	Smolka2013	English
Smolka et al. (2011)	Smolka2011	
Snelling (1959)	Snelling1959	English
Snijders et al. (2017)	Snijders2017	English
Snowden & Ekweozor (1987)	Snowden1987	
Snowden & Ekweozor (1990)	Snowden1990	
Snyder & Green (1970)	Snyder1970	English
Somers (1991)	Somers1991	English
Soundarapandian et al. (2008)	Soundarapandian2008	English
Sourie (1954)	Sourie1954.1	
Sourie (1957)	Sourie1957	
Spaans (1979)	Spaans1979	English
Spaargaren (1975)	Spaargaren1975	English
Spaargaren (1977)	Spaargaren1977	English
Spencer et al. (1979)	Spencer1979	English
Spindler et al. (1976)	Spindler1976	English
Spindler-Barth (1976)	SpindlerBarth1976	English
Spirito (1969)	Spirito1969	English
Spirito (1970)	Spirito1970.2	English
Spirito (1970)	Spirito1970.1	English
Spivak & Cuesta (2009)	Spivak2009	
