Reference	#	Scientific Name	Common Name	Where	Type	Applies to	#	Actual	Source of Actual	Species Notes	General Notes	
Olivier1811.2	1.14	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Catesby1743	1	=	=	.	.	
Leach1814	1.1	Ocypode vocans	.	text p. 393	citation	Linnaeus1766	1	=	=	.	.	
Leach1814	1.2	Ocypode vocans	.	text p. 393	citation	Herbst1782	1	=	=	.	.	
Leach1814	1.3	Ocypode vocans	.	text p. 393	citation	Herbst1782	2.1	=	=	.	.	
Leach1814	1.4	Ocypode vocans	.	text p. 393	citation	Latreille1802	2	=	=	.	.	
Leach1814	2	Uca Una	.	text p. 430	citation	Shaw1802	1	=	=	.	.	
Leach1814	3	Uca	.	text p. 430	n/a	.	.	>Uca	.	.	.	
Leach1815	1	Uca Una	.	"text p. 309, 323: #17.1"	citation	Herbst1782	2	=	=	"When citing Herbst (1782), Leach mixes up the name he cites (<em class=""species"">Cancer vocans major</em>) with the wrong figure (fig. 10, which is <em class=""species"">Cancer vocans minor</em>)"	.	
Desmarest1817	1	Goneplax nitida	Goneplace luisant	text p. 505: #14	specimen	?	.	?	.	"Partial fossil, now missing, and impossible to place to a specific species"	.	
Latreille1817.1	1.1	Goneplax	.	text p. 16-17	citation	DeGeer1778	0	>Uca	<	.	"Does not name any species, but rather lumps them into the genus Goneplax"	
Latreille1817.1	1.2	Goneplax	.	text p. 16-17	citation	Piso1658	0	>Uca	<	.	.	
Latreille1817.1	1.3	Goneplax	.	text p. 16-17	citation	Seba1758	0	>Uca	<	.	.	
Latreille1817.1	1.4	Goneplax	.	text p. 16-17	citation	Herbst1804	0	>Uca	<	.	.	
Latreille1817.1	1.5	Goneplax	.	text p. 16-17	citation	Herbst1790	0	>Uca	<	.	.	
Latreille1817.2	1.1	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Latreille1802	2	=	=	.	.	
Latreille1817.2	1.2	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Bosc1802	1	=	=	.	.	
Latreille1817.2	1.3	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Piso1658	1	=	=	.	.	
Latreille1817.2	1.4	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Seba1758	1	=	=	.	.	
Latreille1817.2	1.5	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Herbst1782	2.1	=	=	.	.	
Latreille1817.2	1.6	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Olivier1811	2	=	=	.	.	
Latreille1817.2	1.7	Gelasima Maracoani	Gelasime maracoani	text p. 517-520	citation	Marcgrave1648	1	=	=	.	.	
Latreille1817.2	2.1	Gelasima pugillator	Gélasime combattante	text p. 517-520	citation	Olivier1811	3	=	=	.	.	
Latreille1817.2	2.2	Gelasima pugillator	Gélasime combattante	text p. 517-520	citation	Bosc1802	2	=	=	.	.	
Latreille1817.2	3.1	Gelasima vocans	Gélasime appelante	text p. 517-520	citation	DeGeer1778	1	=	=	.	.	
Latreille1817.2	3.2	Gelasima vocans	Gélasime appelante	text p. 517-520	citation	Olivier1811	1	=	=	.	.	
Latreille1817.2	3.3	Gelasima vocans	Gélasime appelante	text p. 517-520	citation	Bosc1802	3	=	=	.	.	
Latreille1817.2	3.4	Gelasima vocans	Gélasime appelante	text p. 517-520	citation	Herbst1782	1	=	=	.	.	
Latreille1817.2	3.5	Gelasima vocans	Gélasime appelante	text p. 517-520	citation	Linnaeus1766	1	=	=	.	.	
Latreille1817.2	4	Ciecie Panema	.	text p. 517-520	citation	Marcgrave1648	3	=	=	He doesn't give a specific name to this cited crab but mentions that is is a representative of the same genus.	.	
Latreille1817.2	5	Cancer vocator	.	text p. 517-520	citation	Herbst1804	1	=	=	He doesn't give a specific name to this cited crab but mentions that is is a representative of the same genus.	.	
Say1817	1.1	Ocypode pugilator	Fiddler Crab	text p. 71-73	location	Atlantic coast of United States	.	pugilator	<	.	"First mention of English name ""fiddler crab"" (commonly used by coastal residents). Also mentions these crabs as being in Leach's genus <em class=""species"">Uca.</em> Doesn't seem aware females do not have large claw."	
Say1817	1.2	Ocypode pugilator	Fiddler Crab	text p. 71-73	citation	Latreille1802	3	=	=	.	.	
Say1817	2.1	Ocypode vocans	.	text p. 71-73	citation	Linnaeus1766	1	=	=	.	.	
Say1817	2.2	Ocypode vocans	.	text p. 71-73	citation	Latreille1802	1	=	=	.	.	
Say1817	3	Ocypode maracoani	.	text p. 71-73	citation	Latreille1802	2	=	=	.	.	
Say1817	4	Uca	Fiddler Crab	text p. 71	citation	Leach1814	3	=	=	.	.	
Rafinesque1817	1	Ocypoda pusilla	.	text p. 42	location	"Long Island, New York, USA"	.	pugnax	Holthuis1956	This name was suppressed by the ICZN (opinion 522)	.	
Lamarck_nd	1	Gonoplax grandimanus	.	Museum label	specimen	?	.	maracoani	<	Unpublished name	.	
Lamarck_nd	2	Gonoplax manchus	.	Museum label	specimen	?	.	maracoani	<	Unpublished name	.	
Lamarck_nd	3	Gonoplax porrector	.	Museum label	specimen	?	.	maracoani	<	Unpublished name	.	
Lamarck1818	1.1	Gonoplax vocans	Rhombille appellant	text p. 254: #1	citation	Fabricius1798.2	1	=	=	.	.	
Lamarck1818	1.2	Gonoplax vocans	Rhombille appellant	text p. 254: #1	citation	Latreille1802	1	=	=	.	.	
Lamarck1818	1.3	Gonoplax vocans	Rhombille appellant	text p. 254: #1	citation	DeGeer1778	1	=	=	.	.	
Lamarck1818	2.1	Gonoplax maracoani	Rhombille maracoan	text p. 254: #2	citation	Latreille1802	2	=	=	.	.	
Lamarck1818	2.2	Gonoplax maracoani	Rhombille maracoan	text p. 254: #2	citation	Piso1658	1	=	=	.	.	
Lamarck1818	2.3	Gonoplax maracoani	Rhombille maracoan	text p. 254: #2	citation	Seba1758	1	=	=	.	.	
Lamarck1818	2.4	Gonoplax maracoani	Rhombille maracoan	text p. 254: #2	citation	Lamarck_nd	1	=	=	"Cited species name is marked as ""unpublished"""	.	
Lamarck1818	2.5	Gonoplax maracoani	Rhombille maracoan	text p. 254: #2	citation	Lamarck_nd	2	=	=	"Cited species name is marked as ""unpublished"""	.	
Lamarck1818	2.6	Gonoplax maracoani	Rhombille maracoan	text p. 254: #2	citation	Lamarck_nd	3	=	=	"Cited species name is marked as ""unpublished"""	.	
Lamarck1818	3.1	Geocarcinus uca	Tourlourou des fanges	text p. 251: #2	citation	Linnaeus1766	2	=	=	.	.	
Lamarck1818	3.2	Geocarcinus uca	Tourlourou des fanges	text p. 251: #2	citation	Latreille1802	4	=	=	.	.	
Lamarck1818	3.3	Geocarcinus uca	Tourlourou des fanges	text p. 251: #2	citation	Seba1758	3	=	=	.	.	
Lamarck1818	3.4	Geocarcinus uca	Tourlourou des fanges	text p. 251: #2	citation	Herbst1782	3	=	=	.	.	
Latreille1818	1	Gelasima Maracoani	.	text p. 1; plate 275: figure 7	specimen	?	1	tangeri	>MSR	The figure is an uncited reproduction from Seba (1758).	.	
Latreille1818	2	Gelasima Maracoani	.	text p. 3; plate 296: figure 1	specimen	?	1	maracoani	<	.	.	
Latreille1818	3.1	Cancer uca	.	text p. 1; plate 269: figure 4	citation	Linnaeus1766	2	=	=	.	The figure is an uncited reproduction from Seba (1758).	
Latreille1818	3.2	Cancer uca	.	text p. 1; plate 269: figure 4	citation	Latreille ???	.	=	=	.	.	
Freminville1822	1	Gonoplax speciosus	.	text p. 15; plate 11	location	Senegal	.	tangeri	Monod1833	.	An (apparently) unpublished manuscript in the library of the National Musuem of Natural History in Paris.	
Desmarest1822	1.1	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Desmarest1817	1	=	=	.	"Partial fossil, now missing, and impossible to place to a specific species"	
Desmarest1822	1.2	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Latreille1817.2	1	=	=	.	.	
Desmarest1822	1.3	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Olivier1811	2	=	=	.	.	
Desmarest1822	1.4	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Piso1658	1	=	=	.	.	
Desmarest1822	1.5	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Seba1758	1	=	=	.	.	
Desmarest1822	1.6	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Herbst1782	2.1	=	=	.	.	
Desmarest1822	1.7	Gelasima nitida	Gélasime luisante	text p. 106-107; plate 8: figures 7-8	citation	Bosc1802	1	=	=	.	.	
Desmarest1823	1.1	Gelasimus	crabes appelans	"text p. 235, 241-242"	citation	Leach1814	3	=	=	.	.	
Desmarest1823	1.2	Gelasimus	crabes appelans	"text p. 235, 241-242"	citation	Latreille1817.2	0	>Uca	<	.	.	
Desmarest1823	2.1	Gelasimus Maracoani	Gélasime Maracoani	text p. 242	citation	Latreille1817.2	1	=	=	.	.	
Desmarest1823	2.2	Gelasimus Maracoani	Gélasime Maracoani	text p. 242	citation	Piso1658	1	=	=	.	.	
Desmarest1823	2.3	Gelasimus Maracoani	Gélasime Maracoani	text p. 242	citation	Bosc1802	1	=	=	.	.	
Desmarest1823	2.4	Gelasimus Maracoani	Gélasime Maracoani	text p. 242	citation	Herbst1782	2	=	=	.	.	
Desmarest1823	3.1	Gelasimus pugilator	Gélasime combattante	text p. 242-243	citation	Latreille1817.2	2	=	=	.	.	
Desmarest1823	3.2	Gelasimus pugilator	Gélasime combattante	text p. 242-243	citation	Bosc1802	2	=	=	.	.	
Desmarest1823	4.1	Gelasimus vocans	Gélasime appelante	text p. 243	citation	Latreille1817.2	3	=	=	.	.	
Desmarest1823	4.2	Gelasimus vocans	Gélasime appelante	text p. 243	citation	DeGeer1778	1	=	=	.	.	
Desmarest1823	4.3	Gelasimus vocans	Gélasime appelante	text p. 243	citation	Herbst1782	1	=	=	.	.	
Desmarest1823	4.4	Gelasimus vocans	Gélasime appelante	text p. 243	citation	Bosc1802	3	=	=	.	.	
Desmarest1823	5	Gelasimus Marionis	Gélasime de Marion	text p. 243	specimen	"Manila, Philippines"	.	vocans	>MSR:synonymy	.	.	
Desmarest1825	1.1	Gelasimus Maracoani	Gélasime Maracoani	text p. 123	citation	Latreille1817.2	1	=	=	.	"The genus is generally known as ""crabes appelans"""	
Desmarest1825	1.2	Gelasimus Maracoani	Gélasime Maracoani	text p. 123	citation	Piso1658	1	=	=	.	.	
Desmarest1825	1.3	Gelasimus Maracoani	Gélasime Maracoani	text p. 123	citation	Herbst1782	2.1	=	=	.	.	
Desmarest1825	1.4	Gelasimus Maracoani	Gélasime Maracoani	text p. 123	citation	Bosc1802	1	=	=	.	.	
Desmarest1825	2.1	Gelasimus pugilator	Gélasime combattante	text p. 123	citation	Latreille1817.2	2	=	=	.	.	
Desmarest1825	2.2	Gelasimus pugilator	Gélasime combattante	text p. 123	citation	Bosc1802	2	=	=	.	.	
Desmarest1825	3.1	Gelasimus vocans	Gélasime appelante	text p. 123	citation	Latreille1817.2	3	=	=	.	.	
Desmarest1825	3.2	Gelasimus vocans	Gélasime appelante	text p. 123	citation	DeGeer1778	1	=	=	.	.	
Desmarest1825	3.3	Gelasimus vocans	Gélasime appelante	text p. 123	citation	Herbst1782	1	=	=	.	.	
Desmarest1825	3.4	Gelasimus vocans	Gélasime appelante	text p. 123	citation	Bosc1802	3	=	=	.	.	
Desmarest1825	3.5	Gelasimus vocans	Gélasime appelante	text p. 123	citation	Olivier1811	1	=	=	.	.	
Desmarest1825	4	Gelasimus Marionis	Gélasime de Marion	text p. 124; plate 13: figure 1	citation	Desmarest1823	5	=	=	.	.	
Suiken	1	.	Tenbo-gani; Shiomaneki	figures	location	"Wakayama, Japan"	.	arcuata	<	Three different figures of male crabs. Tenbo-gani = &ldquo;one handed man crab&rdquo;; Shiomaneki = &ldquo;tide beckoning crab&rdquo;	"This is the general collection of the drawings of Suiken. The dates are unknown, but much of it has to predate 1826, since figures from this collection were reproduced in the <em>Kai-ka rui siya-sin<em> which was given to Siebold in that year. Three of the four fiddler crab drawings (all <em class=""species"">Uca arcuata</em>) were reproduced in the later work."	
Suiken	2	.	.	figure	location	Japan	.	arcuata	<	"A male crab, not reproduced in the later work."	.	
Suiken1826	1	Ocypode (Gelasimus)	Kometsuki-gani; Shiomaneki	plate 2: figure 11	citation	Yoritaka	1	=	=	Female crab. Kometsuki-gani = &ldquo;rice-cleaning crab&rdquo;; Shiomaneki = &ldquo;tide beckoning crab&rdquo;	"This is the collection of drawings given by Suiken to Siebold in 1826. Most, if not all, of the drawings were reproductions from earlier works, some of which were by other artists. Of the five fiddler crab illustrations in this manuscript, at least four are originally by Suiken (the male <em class=""species"">Uca lactea</em> may not be).<p>The Japanese names are from Suiken; Latin names, when given, were added by Siebold.<p>These were used, in part, by de Haan when describing the Japanese Crustacea."	
Suiken1826	2	Ocypode	.	plate 2: figure 12	citation	Yoritaka	2	=	=	Male crab.	.	
Suiken1826	3	.	Tenbo-gani; Shiomaneki	plate 5: figures 33-35	citation	Suiken	1	=	=	Three different figures of male crabs. Tenbo-gani = &ldquo;one handed man crab&rdquo;; Shiomaneki = &ldquo;tide beckoning crab&rdquo;	.	
Audouin1829	1	Gelasimes	.	p. 35	n/a	.	.	>Uca	.	.	.	
Audouin1829	2	.	Gélasime de Marion	text p. 67; plate 14: figure 2	specimen	?	.	vocans	<	.	.	
Latreille1828	1	Gelasimus	.	text p. 45-46	citation	Latreille1817.2	0	>Uca	<	.	.	
Latreille1828	2.1	.	Gélasime combattante	text p. 46	citation	Marcgrave1648	2	=	=	.	.	
Latreille1828	2.2	.	Gélasime combattante	text p. 46	citation	Marcgrave1648	3	=	=	.	.	
Latreille1828	3	Cancer vocans	crabes appelants	text p. 45	n/a	.	.	vocans	<	.	.	
Latreille1828	4	Cancer uca	.	text p. 49	n/a	.	.	>Ucides cordatus	.	.	.	
Latreille1829	1	Gelasimus	.	text p. 45-46	citation	Latreille1817.2	0	>Uca	<	.	.	
Latreille1829	2.1	.	Gélasime combattante	text p. 46	citation	Marcgrave1648	2	=	=	.	.	
Latreille1829	2.2	.	Gélasime combattante	text p. 46	citation	Marcgrave1648	3	=	=	.	.	
Latreille1829	3	Cancer vocans	crabes appelants	text p. 45	n/a	.	.	vocans	<	.	.	
Latreille1829	4	Cancer uca	.	text p. 49	n/a	.	.	>Ucides cordatus	.	.	.	
GuerinMeneville1829.1	1	Gelasimus Duperreyi	Gélasime de Duperrey	plate 1: figure 2	specimen	Bora Bora	.	tetragonon	Crane1975	He uses different name on the plates and figures than he does in the text	.	
GuerinMeneville1829.1	2	Gelasimus affinis	Gélasime semblable	plate 1: figure 3	specimen	Bora Bora	.	tetragonon	Crane1975	He uses different name on the plates and figures than he does in the text	.	
GuerinMeneville1829.2	1	Gelasimus chlorophthalmus	Gelasime chlorophtalme	text p. 7; plate 4: figure 3	citation	Latreille1828	0	>chlorophthalmus	<	.	.	
GuerinMeneville1829.2	2	.	.	text p. 7	citation	Eydoux1835	1	tangeri	>MSR:geography	"He doesn't give a specific name for this cited crab, but mentions he's seen a specimen of the same species from Senegal."	.	
GuerinMeneville1829.2	3.1	Uca una	.	text p. 8; plate 5: figure 3	citation	Latreille1828	4	=	=	.	.	
GuerinMeneville1829.2	3.2	Uca una	.	text p. 8; plate 5: figure 3	citation	Marcgrave1648	4	=	=	.	.	
Ruppell1830	1.1	Gelasimus tetragonon	.	text p. 25-26; plate 5: figure 5	citation	Herbst1790	1	=	=	.	First person to link the symmetric females to the asymmetric males of the same species.	
Ruppell1830	1.2	Gelasimus tetragonon	.	text p. 25-26; plate 5: figure 5	location	"Massawa, Eritrea"	.	tetragonon	<	.	.	
GuerinMeneville1830	1.1	Gelasimus tetragonon	Gélasime tétragone	text p. 10	citation	GuerinMeneville1829.1	2	=	=	Also mentions specimens in museum from Java and Bengal.	.	
GuerinMeneville1830	1.2	Gelasimus tetragonon	Gélasime tétragone	text p. 10	citation	Ruppell1830	1	=	=	.	.	
GuerinMeneville1830	1.3	Gelasimus tetragonon	Gélasime tétragone	text p. 10	citation	Herbst1790	1	=	=	.	.	
GuerinMeneville1830	1.4	Gelasimus tetragonon	Gélasime tétragone	text p. 10	citation	Seba1758	2	=	=	.	.	
GuerinMeneville1830	1.5	Gelasimus tetragonon	Gélasime tétragone	text p. 10	citation	Fabricius1798.2	2	=	=	.	.	
Bosc1830	1.1	Ocypoda heterochelos	Ocypode noir	text p. 250	citation	Seba1758	1	=	=	.	.	
Bosc1830	1.2	Ocypoda heterochelos	Ocypode noir	text p. 250	citation	Herbst1782	2.1	=	=	.	.	
Bosc1830	1.3	Ocypoda heterochelos	Ocypode noir	text p. 250	citation	Marcgrave1648	1	=	=	.	.	
Bosc1830	2.1	Ocypoda pugilator	Ocypode combattant	"text p. 241, 250"	citation	Latreille1817.2	2	=	=	.	.	
Bosc1830	2.2	Ocypoda pugilator	Ocypode combattant	"text p. 241, 250"	citation	Marcgrave1648	2	=	=	.	.	
Ruppell1831	1.1	Gelasimus tetragonon	.	text p. 104	citation	Ruppell1830	1	=	=	.	Essentially an abstracted version of his 1830 paper.	
Ruppell1831	1.2	Gelasimus tetragonon	.	text p. 104	citation	Herbst1790	1	=	=	.	.	
Leach1832	1.1	Ocypode vocans	.	text p. 231	citation	Linnaeus1766	1	=	=	.	.	
Leach1832	1.2	Ocypode vocans	.	text p. 231	citation	Herbst1782	1	=	=	.	.	
Leach1832	1.3	Ocypode vocans	.	text p. 231	citation	Herbst1782	2.1	=	=	.	.	
Leach1832	1.4	Ocypode vocans	.	text p. 231	citation	Latreille1802	2	=	=	.	.	
Leach1832	2	Uca Una	.	text p. 270	citation	Shaw1802	1	=	=	.	.	
Henschel1833	1	Gonoplax vocans	.	text p. 204	citation	Rumphius1705	1	=	=	.	.	
Eydoux1835	1	Gelasimus Tangeri	Gélasime de tanger	text p. 29-32; plate 17	specimen	"Tangier, Morocco"	.	tangeri	<	"Type description of <em class=""species"">Uca tangeri</em>"	.	
Eydoux1835	2	Gelasimus Maracoani	.	text p. 30-31	citation	Latreille1817.2	1	=	=	.	.	
Eydoux1835	3	Gelasimus vocans	.	text p. 31	citation	Latreille1817.2	3	=	=	.	.	
Eydoux1835	4	Gelasimus pugilator	.	text p. 31	citation	Latreille1817.2	2	=	=	.	.	
Eydoux1835	5.1	Gelasimus tetragonon	.	text p. 32	citation	Herbst1790	1	=	=	.	.	
Eydoux1835	5.2	Gelasimus tetragonon	.	text p. 32	citation	GuerinMeneville1830	1	=	=	.	.	
Eydoux1835	5.3	Gelasimus tetragonon	.	text p. 32	citation	Ruppell1830	1	=	=	.	.	
deHaan1835	1.1	Ocypode (Gelasimus) maracoani	.	"text p. 26, 54"	citation	Herbst1782	2.1	=	=	.	.	
deHaan1835	1.2	Ocypode (Gelasimus) maracoani	.	"text p. 26, 54"	citation	Latreille1817.2	1	=	=	.	.	
deHaan1835	2.1	Ocypode (Gelasimus) vocator	.	"text p. 26, 54"	citation	Herbst1804	1	=	=	.	.	
deHaan1835	2.2	Ocypode (Gelasimus) vocator	.	"text p. 26, 54"	citation	Herbst1782	1	=	=	.	.	
deHaan1835	2.3	Ocypode (Gelasimus) vocator	.	"text p. 26, 54"	citation	Bosc1802	2	=	=	.	.	
deHaan1835	3.1	Ocypode (Gelasimus) tetragonus	.	"text p. 26, 54"	citation	Herbst1790	1	=	=	.	.	
deHaan1835	3.2	Ocypode (Gelasimus) tetragonus	.	"text p. 26, 54"	citation	Ruppell1830	1	=	=	.	.	
deHaan1835	4	Ocypode (Gelasimus) marionis	.	"text p. 26, 54"	citation	Desmarest1825	4	=	=	.	.	
deHaan1835	5	Ocypode (Gelasimus) chlorophthalmus	.	"text p. 26, 54"	citation	GuerinMeneville1829.2	1	=	=	.	.	
deHaan1835	6.1	Ocypode (Gelasimus) arcuata	Siho maneki; ?????; maris refluxum annuens	"text p. xii, 26, 53-54; plate 7: figure 2"	specimen	Japan	.	arcuata	<	"Type description. Japanese name (which should be shio not siho) has been translated as ""beckoning for the return of the tide"" or ""tide caller"""	.	
deHaan1835	6.2	Ocypode (Gelasimus) arcuata	Siho maneki; ?????; maris refluxum annuens	"text p. xii, 26, 53-54; plate 7: figure 2"	citation	Suiken1826	3	=	=	.	.	
deHaan1835	7	Ocypode (Gelasimus) lactea	.	"text p. 26, 54; plate 15: figure 5"	specimen	Japan	.	lactea	<	Type description	.	
deHaan1835	8	Ocypode (Uca) uca	.	text p. 29	citation	Linnaeus1766	2	=	=	.	.	
Latreille1837	1	Gelasimus chlorophthalmus	.	Crustacea Plate 9	n/a	.	.	chlorophthalmus	<	.	This is an English translation of the 1828 2nd edition of Cuvier's Le Regne Animal.	
Latreille1837	2	Gelasimus marionis	.	Crustacea Plate 11	n/a	.	.	.	.	.	.	
Latreille_nd	1	Gelasimus variegata	.	Museum label	specimen	?	.	tetragonon	MilneEdwards1837.2	.	.	
MilneEdwards1837.1	1.1	Gelasimus vocans	Gélasime appelante	text p. 64-65; plate 18: figure 1	specimen	?	.	stylifera	Crane1975	.	.	
MilneEdwards1837.1	1.2	Gelasimus vocans	Gélasime appelante	text p. 64-65; plate 18: figure 1	citation	Leach1814	1	=	=	.	.	
MilneEdwards1837.1	1.3	Gelasimus vocans	Gélasime appelante	text p. 64-65; plate 18: figure 1	citation	Latreille1817.2	3	=	=	.	.	
MilneEdwards1837.1	2.1	.	Gélasime combattante	text p. 65	citation	Marcgrave1648	1	=	=	.	.	
MilneEdwards1837.1	2.2	.	Gélasime combattante	text p. 65	citation	Marcgrave1648	2	=	=	.	.	
MilneEdwards1837.1	2.3	.	Gélasime combattante	text p. 65	citation	Marcgrave1648	3	=	=	.	.	
MilneEdwards1837.1	2.4	.	Gélasime combattante	text p. 65	citation	Bosc1802	2.1	=	=	.	.	
MilneEdwards1837.1	3	Uca una	Uca une	text p. 70-71; plate 19: figure 2	citation	Herbst1782	3	=	=	.	.	
MilneEdwards1837.2	1.1	Gelasimus maracoani	Gelasime maracoani	text p. 51	citation	Marcgrave1648	1	=	=	.	.	
MilneEdwards1837.2	1.2	Gelasimus maracoani	Gelasime maracoani	text p. 51	citation	Latreille1802	2	=	=	.	.	
MilneEdwards1837.2	1.3	Gelasimus maracoani	Gelasime maracoani	text p. 51	citation	Bosc1802	1	=	=	.	.	
MilneEdwards1837.2	1.4	Gelasimus maracoani	Gelasime maracoani	text p. 51	citation	Lamarck1818	2	=	=	.	.	
MilneEdwards1837.2	1.5	Gelasimus maracoani	Gelasime maracoani	text p. 51	citation	Latreille1818	2	=	=	.	.	
MilneEdwards1837.2	2.1	Gelasimus platydactylus	Gélasime platydactyle	text p. 51-52	specimen	"Cayenne, French Guiana"	.	major	Crane1975	.	.	
MilneEdwards1837.2	2.2	Gelasimus platydactylus	Gélasime platydactyle	text p. 51-52	citation	Seba1758	1	=	=	.	.	
MilneEdwards1837.2	2.3	Gelasimus platydactylus	Gélasime platydactyle	text p. 51-52	citation	Herbst1782	2.1	=	=	.	.	
MilneEdwards1837.2	2.4	Gelasimus platydactylus	Gélasime platydactyle	text p. 51-52	citation	Latreille1818	1	=	=	.	.	
MilneEdwards1837.2	3	Ocypode (Gelasimus) arcuata	.	text p. 53	citation	deHaan1835	6	=	=	.	.	
MilneEdwards1837.2	4	Gelasimus forceps	Gélasime pince	text p. 52	specimen	Australasia	.	?	.	"(Crane, 1975: p. 323) This name has been discarded. The ""male"" specimen turns out to be an amalgamation of a female body from one species (identifiable only to subgenus <em class=""species"">Tubuca</em>) and a claw from a male <em class=""species"">Uca lactea</em>. Another specimen stored nearby, labeled as ""lactea"", turned out to be a claw from a male <em class=""species"">Tubuca</em> on a male <em class=""species"">U. lactea</em> body. While it is likely the claws can be swapped, we still have a minimum of 3 different individuals in this mixup, including a male claw and female body, possibly, but not definitively from the same species. "	.	
MilneEdwards1837.2	5.1	Gelasimus tetragonon	Gélasime tétragone	text p. 52-53	citation	Herbst1790	1	=	=	.	.	
MilneEdwards1837.2	5.2	Gelasimus tetragonon	Gélasime tétragone	text p. 52-53	citation	Bosc1802	4	=	=	.	.	
MilneEdwards1837.2	5.3	Gelasimus tetragonon	Gélasime tétragone	text p. 52-53	citation	Ruppell1830	1	=	=	.	.	
MilneEdwards1837.2	5.4	Gelasimus tetragonon	Gélasime tétragone	text p. 52-53	citation	Latreille_nd	1	=	=	Unpublished name	.	
MilneEdwards1837.2	6	Gelasimus cordiformis	Gélasime cordiforme	text p. 53	specimen	Australasia	1	>Heloecius cordiformis	.	.	.	
MilneEdwards1837.2	7.1	Gelasimus Marionis	Gélasime de Marion	text p. 53-54	citation	Rumphius1705	1	=	=	.	.	
MilneEdwards1837.2	7.2	Gelasimus Marionis	Gélasime de Marion	text p. 53-54	citation	Desmarest1825	4	=	=	.	.	
MilneEdwards1837.2	8.01	Gelasimus vocans	Gélasime appelante	text p. 54	citation	Marcgrave1648	2	=	=	.	.	
